age	male	baseusage	aware0	harmvision0	gansu	RE2	va18	zmath	pedu12	hhwealth	bboarding	pamigrant	schid	studentid	newcome	attrition	givegl	wear2	use2	ezmath	major	interaction	edu	con	vou	fre	SE2	seatchange	emtea_14	reexamination	blackboard
10	1	0	1	0	0	1	1	0.40349388	0	3	0	0	101011	"1010114102"	0	0	1	1	1	0.58347034	3	6	1	0	0	1	-3.125	2	2	1	3
8	0	0	1	1	0	2	0	2.023282	1	3	0	0	101011	"1010114109"	0	0	1	0	1	2.2032585	3	6	1	0	0	1	-1.0	2	2	1	3
9	1	0	1	0	0	1	1	-1.7562238	0	3	1	0	101011	"1010114113"	0	0	1	0	0	-0.4963885	3	6	1	0	0	1	-2.375	1	2	1	3
11	0	0	1	1	0	1	1	-0.4963885	1	1	1	0	101011	"1010114129"	0	0	1	1	1	0.7634468	3	6	1	0	0	1	-2.25	2	2	1	3
11	1	0	0	0	0	2	0	-1.2162944	0	3	1	0	101011	"1010114136"	0	0	1	0	0	-0.4963885	3	6	1	0	0	1	-0.75	2	2	1	3
10	1	0	0	0	0	4	0	0.5145605	0	2	1	0	101011	"1010115102"	0	0	1	0	1	1.0681995	3	6	1	0	0	1	0.75	2	1	1	3
10	0	0	1	1	0	1	1	-0.22362481	0	2	0	0	101011	"1010115103"	0	0	1	0	1	0.3300142	3	6	1	0	0	1	-2.875	1	1	1	3
11	0	0	1	0	0	2	1	0.5145605	0	2	1	0	101011	"1010115104"	0	0	1	0	1	0.5145605	3	6	1	0	0	1	-1.5	1	1	1	3
10	1	1	1	0	0	1	1	1.4372922	0	3	1	0	101011	"1010115116"	0	0	1	1	1	1.4372922	3	6	1	0	0	1	-3.375	2	1	1	3
10	0	1	1	0	0	2	1	-1.1463565	0	2	1	0	101011	"1010115118"	0	0	1	1	1	-1.1463565	3	6	1	0	0	1	-2.0	2	1	1	3
10	1	0	0	1	0	2	1	0.5145605	0	3	0	0	101011	"1010115120"	0	0	1	1	1	-0.40817115	3	6	1	0	0	1	-1.75	2	1	1	3
11	1	0	1	0	0	1	1	1.6218386	0	3	1	0	101011	"1010115135"	0	0	1	1	1	1.4372922	3	6	1	0	0	1	-2.75	1	1	1	3
11	0	1	1	0	0	2	1	-0.039078478	1	3	1	0	101011	"1010115136"	0	0	1	1	1	1.0681995	3	6	1	0	0	1	-2.0	1	1	1	3
12	1	0	0	0	0	2	1	0.3300142	0	1	0	0	101011	"1010115140"	0	0	1	0	1	0.3300142	3	6	1	0	0	1	-1.0	2	1	1	3
10	1	0	1	0	0	1	1	0.14546786	0	3	0	0	101011	"1010115142"	0	0	1	1	1	-0.40817115	3	6	1	0	0	1	-2.31	2	1	1	3
10	1	0	0	0	0	2	0	-0.22362481	0	3	1	0	101011	"1010115144"	0	0	1	0	0	-0.22362481	3	6	1	0	0	1	-1.0	3	1	1	3
10	1	0	0	0	0	2	0	-0.59271747	0	3	1	0	101011	"1010115152"	0	0	1	0	0	0.3300142	3	6	1	0	0	1	-1.0	2	1	1	3
10	0	0	0	1	0	2	0	0.7634468	0	3	1	1	101021	"1010214202"	0	0	1	0	1	1.3033762	3	5	0	0	0	1	-1.25	2	2	1	3
9	0	1	1	0	0	2	1	2.2032585	0	3	1	1	101021	"1010214207"	0	0	1	0	1	1.4833527	3	5	0	0	0	1	-1.5	2	2	1	3
10	0	0	1	1	0	2	0	-1.036318	0	2	1	0	101021	"1010214218"	0	0	1	1	1	0.58347034	3	5	0	0	0	1	-0.75	2	2	1	3
10	0	0	0	1	0	2	0	1.3033762	0	2	1	0	101021	"1010214219"	0	0	1	1	1	1.4833527	3	5	0	0	0	1	-1.75	1	2	1	3
10	0	0	0	0	0	2	0	0.40349388	0	3	0	0	101021	"1010214222"	0	0	1	1	1	0.40349388	3	5	0	0	0	1	-1.0	2	2	1	3
